Proto,Port,Program
tcp,39688,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39698,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39708,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39716,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39720,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,39766,/var/vcap/data/packages/route_registrar/<GUID>/bin/route-registrar
tcp,39812,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,39832,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,39968,/var/vcap/data/packages/uaa/<GUID>/jdk/bin/java
tcp,39988,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,4002,/var/vcap/data/packages/policy-server/<GUID>/bin/policy-server
tcp,4003,/var/vcap/data/packages/policy-server/<GUID>/bin/policy-server-internal
tcp,40072,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,40146,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,40178,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,40188,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,40198,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,40202,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,40212,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,40248,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,40250,/var/vcap/data/packages/route_emitter/<GUID>/bin/route-emitter
tcp,40316,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,40324,/var/vcap/bosh/bin/bosh-agent
tcp,40344,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,40354,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,40390,/usr/local/bin/ruby
tcp,40394,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,40404,/usr/local/bin/ruby
tcp,40494,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,40534,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,40540,/var/vcap/data/packages/log-cache/<GUID>/log-cache
tcp,40626,/var/vcap/data/packages/route_registrar/<GUID>/bin/route-registrar
tcp,40738,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,40744,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
tcp,40796,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,40802,/var/vcap/data/packages/route_registrar/<GUID>/bin/route-registrar
tcp,40812,/var/vcap/data/packages/metric-scraper/<GUID>/metric-scraper
tcp,40938,/var/vcap/data/packages/log-cache/<GUID>/log-cache
tcp,40974,/usr/bin/google_guest_agent
tcp,40992,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
tcp,41026,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,4103,/var/vcap/data/packages/silk-controller/<GUID>/bin/silk-controller
tcp,41030,/usr/bin/google_guest_agent
tcp,41048,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,41086,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
tcp,41098,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,41170,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,41214,/var/vcap/bosh/bin/bosh-agent
tcp,41258,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
tcp,41292,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,41312,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,41368,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,41370,/var/vcap/data/packages/reverse_log_proxy/<GUID>/rlp
tcp,41386,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,41396,/var/vcap/data/packages/loggregator_agent/<GUID>/loggregator-agent
tcp,41440,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,41460,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
tcp,41462,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
tcp,41506,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,41530,/var/vcap/data/packages/routing-api/<GUID>/bin/routing-api
tcp,41530,/var/vcap/data/packages/syslog-agent/<GUID>/syslog-agent
tcp,41546,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
tcp,41554,/var/vcap/data/packages/policy-server/<GUID>/bin/policy-server-asg-syncer
tcp,41598,/var/vcap/data/packages/proxy/<GUID>/bin/proxy
tcp,41694,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,41714,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,41752,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,41762,/var/vcap/data/packages/bosh-dns/<GUID>/bin/bosh-dns
tcp,41762,/var/vcap/data/packages/forwarder-agent/<GUID>/forwarder-agent
tcp,41793,/var/vcap/data/packages/nfs-debs/<GUID>/sbin/rpc.statd
tcp,41820,/var/vcap/data/packages/prom_scraper/<GUID>/prom-scraper
tcp,41832,/var/vcap/data/packages/ruby-3.2/<GUID>/bin/ruby
